album,artist,bnm,bnr,date,reviewer,score,url
Stereo EP,Omar Apollo ,0,0,June 7 2018,Briana Younger,6.8,https://pitchfork.com/reviews/albums/omar-apollo-stereo-ep/
Still EP,Mazzy Star,0,0,June 6 2018,Ben Cardew,7.1,https://pitchfork.com/reviews/albums/mazzy-star-still-ep/
Hell-On,Neko Case,0,0,June 5 2018,Sam Sodomsky,7.7,https://pitchfork.com/reviews/albums/neko-case-hell-on/
Assimilation,Ben Vince,0,0,June 5 2018,Andy Beta,7.6,https://pitchfork.com/reviews/albums/ben-vince-assimilation/
"You, Forever",Sam Evian,0,0,June 6 2018,Allison Hussey,6.8,https://pitchfork.com/reviews/albums/sam-evian-you-forever/
Strata EP,Jesse James Solomon ,0,0,June 7 2018,Ciaran Thapar,6.8,https://pitchfork.com/reviews/albums/jesse-james-solomon-strata-ep/
Age Of,Oneohtrix Point Never,0,0,June 2 2018,Sasha Geffen,7.8,https://pitchfork.com/reviews/albums/oneohtrix-point-never-age-of/
Dream House,Âme,0,0,June 2 2018,Daniel Martin-McCormick,4.8,https://pitchfork.com/reviews/albums/ame-dream-house/
God’s Favorite Customer,Father John Misty,1,0,June 1 2018,Jeremy D. Larson,8.5,https://pitchfork.com/reviews/albums/father-john-misty-gods-favorite-customer/
Live Through This,Hole,0,0,June 3 2018,Sasha Geffen,10,https://pitchfork.com/reviews/albums/hole-live-through-this/
Lush Life,Bonjay,0,0,June 2 2018,Chris Randle,7.4,https://pitchfork.com/reviews/albums/bonjay-lush-life/
Cruel Practice,Shygirl ,0,0,June 1 2018,Margaret Farrell,7.6,https://pitchfork.com/reviews/albums/shygirl-cruel-practice/
Goodbye & Good Riddance,Juice WRLD,0,0,June 1 2018,Jay Balfour,6.4,https://pitchfork.com/reviews/albums/juice-wrld-goodbye-and-good-riddance/
ye,Kanye West,0,0,June 4 2018,Meaghan Garvey,7.1,https://pitchfork.com/reviews/albums/kanye-west-ye/
Wildness,Snow Patrol,0,0,June 4 2018,Ian Cohen,4.8,https://pitchfork.com/reviews/albums/snow-patrol-wildness/
Return of the Frog Queen,Jeremy Enigk,0,0,June 2 2018,Patric Fallon,7.8,https://pitchfork.com/reviews/albums/jeremy-enigk-return-of-the-frog-queen/
The Long Sleep,Jenny Hval,0,0,June 4 2018,Abigail Covington,7.9,https://pitchfork.com/reviews/albums/jenny-hval-the-long-sleep/
Deeper,Deeper,0,0,June 4 2018,Larry Fitzmaurice,6.9,https://pitchfork.com/reviews/albums/deeper-deeper/
